"Elapsed Time (s)","AP1 atten (dB)","AP2 atten (dB)","Current APs MAC","Ping","Throughput (Mbits/sec)"
"1.90734863281e-06",0,65,"68:7f:74:35:cf:cc","True",41
68.53667593,3,62,"68:7f:74:35:cf:cc","True",46.8
137.214437008,6,59,"68:7f:74:35:cf:cc","True",40.9
208.846236944,9,56,"68:7f:74:35:cf:cc","True",41.8
281.258708954,12,53,"68:7f:74:35:cf:cc","True",37.7
350.061260939,15,50,"68:7f:74:35:cf:cc","True",31.1
418.552004099,18,47,"68:7f:74:35:cf:cc","True",37.5
487.120477915,21,44,"68:7f:74:35:cf:cc","True",28.5
555.689126968,24,41,"68:7f:74:35:cf:cc","True",28.8
624.476771116,27,38,"68:7f:74:35:cf:cc","True",18.8
696.342489958,30,35,"68:7f:74:35:cf:cc","True",21.7
768.87968111,33,32,"68:7f:74:35:cf:cc","True",14
838.136035919,36,29,"68:7f:74:35:cf:cc","True",9.51
909.9550879,39,26,"68:7f:74:35:cf:cc","True",4.35
984.352053881,42,23,"68:7f:74:35:cf:cc","False",2.7
1082.68882394,45,20,"68:7f:74:35:cf:cc","False",1.79
1183.91685295,48,17,"68:7f:74:35:cf:cc","False",1.79
1282.5821681,51,14,"68:7f:74:35:cf:cc","False",1.79
1380.71572495,54,11,"c0:3f:0e:84:62:20","True",48
1443.84675789,54,11,"c0:3f:0e:84:62:20","True",41
1506.9211719,54,11,"c0:3f:0e:84:62:20","True",41.6
1569.9967351,54,11,"c0:3f:0e:84:62:20","True",60.5
